group,section,label,path,type,value,notes
sermons,sermons.audioUrl,Audio Url,sermons[0].audioUrl,string,,Plain text.
sermons,sermons.date,Date,sermons[0].date,string,2026-01-25,Plain text.
sermons,sermons.description,Description,sermons[0].description,string,Continuing The Family of God series through the life of Abraham.,Plain text.
sermons,sermons.duration,Duration,sermons[0].duration,number,1800,Numeric value only.
sermons,sermons.passage,Passage,sermons[0].passage,string,Genesis 16,Plain text.
sermons,sermons.series,Series,sermons[0].series,string,The Family of God,Plain text.
sermons,sermons.speaker,Speaker,sermons[0].speaker,string,Emma Fern,Plain text.
sermons,sermons.title,Title,sermons[0].title,string,The Life of Abraham,Plain text.
sermons,sermons.audioUrl,Audio Url,sermons[1].audioUrl,url,https://www.saintjohnspark.org.uk/wp-content/uploads/2026/01/18-01-2026-Revd-Luke-Graham-Genesis-12v10-20-The-Family-of-God.mp3,"Use full URL (https://...), mailto:, or tel:."
sermons,sermons.date,Date,sermons[1].date,string,2026-01-18,Plain text.
sermons,sermons.description,Description,sermons[1].description,string,The Family of God series in Genesis.,Plain text.
sermons,sermons.duration,Duration,sermons[1].duration,number,1800,Numeric value only.
sermons,sermons.passage,Passage,sermons[1].passage,string,Genesis 12:10-20,Plain text.
sermons,sermons.series,Series,sermons[1].series,string,The Family of God,Plain text.
sermons,sermons.speaker,Speaker,sermons[1].speaker,string,Revd Luke Graham,Plain text.
sermons,sermons.title,Title,sermons[1].title,string,Marriage,Plain text.
sermons,sermons.audioUrl,Audio Url,sermons[2].audioUrl,url,https://www.saintjohnspark.org.uk/wp-content/uploads/2026/01/11-01-2026-Revd-Luke-Graham-Genesis-12v1-9-The-Family-of-God.mp3,"Use full URL (https://...), mailto:, or tel:."
sermons,sermons.date,Date,sermons[2].date,string,2026-01-11,Plain text.
sermons,sermons.description,Description,sermons[2].description,string,Walking through Genesis and God's covenant family.,Plain text.
sermons,sermons.duration,Duration,sermons[2].duration,number,1800,Numeric value only.
sermons,sermons.passage,Passage,sermons[2].passage,string,Genesis 12:1-9,Plain text.
sermons,sermons.series,Series,sermons[2].series,string,The Family of God,Plain text.
sermons,sermons.speaker,Speaker,sermons[2].speaker,string,Revd Luke Graham,Plain text.
sermons,sermons.title,Title,sermons[2].title,string,The Family of God,Plain text.
sermons,sermons.audioUrl,Audio Url,sermons[3].audioUrl,url,https://www.saintjohnspark.org.uk/wp-content/uploads/2026/01/04-01-2026-Lucy-Wren.mp3,"Use full URL (https://...), mailto:, or tel:."
sermons,sermons.date,Date,sermons[3].date,string,2026-01-04,Plain text.
sermons,sermons.description,Description,sermons[3].description,string,Sunday teaching from our church family.,Plain text.
sermons,sermons.duration,Duration,sermons[3].duration,number,1800,Numeric value only.
sermons,sermons.passage,Passage,sermons[3].passage,string,,Plain text.
sermons,sermons.series,Series,sermons[3].series,string,Sunday Talks,Plain text.
sermons,sermons.speaker,Speaker,sermons[3].speaker,string,Lucy Wren,Plain text.
sermons,sermons.title,Title,sermons[3].title,string,Sunday Talk,Plain text.
sermons,sermons.audioUrl,Audio Url,sermons[4].audioUrl,url,https://www.saintjohnspark.org.uk/wp-content/uploads/2026/01/28-12-2025-Bess-cooper-Luke-2v8–16-Humble-King.mp3,"Use full URL (https://...), mailto:, or tel:."
sermons,sermons.date,Date,sermons[4].date,string,2025-12-28,Plain text.
sermons,sermons.description,Description,sermons[4].description,string,Advent reflections on Jesus as the humble King.,Plain text.
sermons,sermons.duration,Duration,sermons[4].duration,number,1800,Numeric value only.
